date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:53	43820/43820	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267ae44ad-ab2c%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.ttf	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.ttf	(from http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2)
14:08:53	21457/21457	---M--	200	added ('OK')	image/jpeg	etag:%22064809786cd213f6429af4be7710d0da%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/published/screenshot-20200202-164216-instagram-6982.jpg?1586096315	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/published/screenshot-20200202-164216-instagram-698235de.jpg	(from https://istikbalturut.weebly.com/resume.html)
14:08:53	131072/131072	---M--	200	added ('OK')	application/pdf	etag:%221fc3d213f88ec6982fb445655522ff1c%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/resume_for_chemistry_teacher.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/resume_for_chemistry_teacher.pdf	(from https://istikbalturut.weebly.com/resume.html)
14:08:53	189819/189819	---M--	200	added ('OK')	image/png	etag:%228da5f688b6847aef32c965abdb8a1b5b%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/editor/strength.png?1586103023	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/editor/strength7b2a.png	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:08:54	210934/210934	---M-Z	200	added ('OK')	text/css	etag:W/%2267ae7320-337f6%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1677618109	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/css/sitesacf3.css	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:08:54	51742/51742	---M--	200	added ('OK')	image/png	etag:%2242cc6cb2e13ca552b9cc50229815a5f8%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/published/domain.png?1586103581	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/published/domain1a04.png	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:08:59	227/227	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2022%20Feb%202025%2019:08:57%20GMT	https://istikbalturut.weebly.com/gdpr/gdprscript.js?buildTime=1740078218	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/gdpr/gdprscriptea41.js	(from https://istikbalturut.weebly.com/401/login.php?redirect=/references.html)
14:08:59	449/449	---M--	200	added ('OK')	image/png	etag:%22af7b42a6fab7b0790bed282376aec2a4%22	https://cdn2.editmysite.com/images/site/footer/og-image-placeholder-blank.png	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/images/site/footer/og-image-placeholder-blank.png	(from https://istikbalturut.weebly.com/teaching-philosophy.html)
14:08:59	210892/210892	---M-Z	200	added ('OK')	text/css	etag:W/%2267b50b78-337cc%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1677273206	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/css/sitesd077.css	(from https://istikbalturut.weebly.com/teaching-philosophy.html)
14:09:01	188909/188909	---M-Z	200	added ('OK')	application/javascript	etag:%2267ae72b8-2e1ed%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1677618109&	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/lang/en/stl8ec7.js	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:09:06	188909/188909	---M-Z	200	added ('OK')	application/javascript	etag:%2267a530a9-2e1ed%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1677273206&	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/lang/en/stla8bf.js	(from https://istikbalturut.weebly.com/teaching-philosophy.html)
14:09:14	480909/480909	---M-Z	200	added ('OK')	application/javascript	etag:%2267b50b96-7568d%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1677618109	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/site/mainacf3.js	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:09:21	534233/534233	---M-Z	200	added ('OK')	application/javascript	etag:%2267abaf49-826d9%22	http://cdn2.editmysite.com/js/site/main-customer-accounts-site.js?buildTime=1677618109	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/site/main-customer-accounts-siteacf3.js	(from https://istikbalturut.weebly.com/cliftonstrengths.html)
14:09:23	480909/480909	---M-Z	200	added ('OK')	application/javascript	etag:%2267b48867-7568d%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1677273206	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/site/maind077.js	(from https://istikbalturut.weebly.com/teaching-philosophy.html)
14:09:28	534233/534233	---M-Z	200	added ('OK')	application/javascript	etag:%2267ae6324-826d9%22	http://cdn2.editmysite.com/js/site/main-customer-accounts-site.js?buildTime=1677273206	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/js/site/main-customer-accounts-sited077.js	(from https://istikbalturut.weebly.com/teaching-philosophy.html)
14:09:28	113442/113442	---M--	200	added ('OK')	application/pdf	etag:%22eed4a0e2e9ff3e2fbe2e2501145cd4c3%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/courseoutlineyayin.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/courseoutlineyayin.pdf	(from https://istikbalturut.weebly.com/courses.html)
14:09:28	153477/153477	---M--	200	added ('OK')	application/pdf	etag:%22f38f3c35ae7ba581fc981236d686e647%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/rubric_example.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/rubric_example.pdf	(from https://istikbalturut.weebly.com/courses.html)
14:09:28	216252/216252	---M--	200	added ('OK')	application/pdf	etag:%22bdc9963a5424831755ddc14523f68de1%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/istikbal_turut_lesson_plan.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/istikbal_turut_lesson_plan.pdf	(from https://istikbalturut.weebly.com/courses.html)
14:09:28	174062/174062	---M--	200	added ('OK')	application/pdf	etag:%22c1ebc7f7145ea223df25710b4e66c215%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/sch3u_syllabus.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/sch3u_syllabus.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:29	321536/321536	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22b1c8ed3627e52486bea964506bdc1e5f%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/competiton.ppt	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/competiton.ppt	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:29	103708/103708	---M--	200	added ('OK')	application/pdf	etag:%22237d370e8cd7564319ba0a7da2875cc9%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/the_production_of_hydrogen_gas.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/the_production_of_hydrogen_gas.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:29	27648/27648	---M--	200	added ('OK')	application/msword	etag:%22e0257631244f4cca5d1a1b92c23d4c55%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/worksheet_chemical_bonds.doc	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/worksheet_chemical_bonds.doc	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:30	16305/16305	---M--	200	added ('OK')	application/pdf	etag:%2298f99df9b9e3c9093f17806ceea9b578%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/worksheet_chemical_bonds_2.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/worksheet_chemical_bonds_2.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
